nutr_cd,nutr_nm,cat_nm
aa,비타민C,비타민 및 무기질
ab,비타민B1,비타민 및 무기질
ac,비타민A,비타민 및 무기질
ad,비타민D,비타민 및 무기질
ae,비타민B6,비타민 및 무기질
af,엽산,비타민 및 무기질
ag,비타민K,비타민 및 무기질
ah,비타민E,비타민 및 무기질
ai,비타민B12,비타민 및 무기질
aj,베타카로틴,비타민 및 무기질
ak,판토텐산,비타민 및 무기질
al,비타민B2,비타민 및 무기질
am,비오틴,비타민 및 무기질
an,나이아신(비타민B3),비타민 및 무기질
ao,칼슘,비타민 및 무기질
ap,셀레늄(셀렌),비타민 및 무기질
aq,크롬,비타민 및 무기질
ar,아연,비타민 및 무기질
as,마그네슘,비타민 및 무기질
at,칼륨,비타민 및 무기질
au,철,비타민 및 무기질
av,요오드,비타민 및 무기질
aw,망간,비타민 및 무기질
ax,몰리브덴,비타민 및 무기질
ay,구리,비타민 및 무기질
az,오메가3,지방산
ba,프로바이오틱스(유산균),발효미생물류
bb,가르시니아캄보지아,신규기능성식품
bc,레시틴,지방산
bd,코엔자임Q10,비타민 및 무기질
be,루테인,신규기능성식품
bf,바나바잎,식이섬유
bg,글루코사민,신규기능성식품
bh,옥타코사놀,신규기능성식품
bi,쏘팔메토,신규기능성식품
bj,폴리코사놀,신규기능성식품
bk,공액리놀레산,지방산
bl,스페인감초추출물(글라브리딘),신규기능성식품
bm,녹차추출물,페놀류
bn,잔티젠,신규기능성식품
bo,시서스추출물,신규기능성식품
bp,홍삼,인삼류
bq,밀크씨슬(실리마린),신규기능성식품
br,감마리놀렌산(GLA),지방산
bs,히알루론산,신규기능성식품
bt,홍국,발효미생물류
bu,프로폴리스,페놀류
bv,지아잔틴,신규기능성식품
bw,감태,엽록소
bx,아스타잔틴,신규기능성식품
by,빌베리추출물,페놀류
bz,허니부쉬추출물,페놀류
ca,인삼,인삼류
cb,MSM,신규기능성식품
cc,유단백가수분해물,아미노산 및 단백질
cd,은행잎추출물,신규기능성식품
ce,커큐민(강황추출물),페놀류
cf,시네트롤,신규기능성식품
cg,로즈마리자몽추출복합물,페놀류
ch,보스웰리아,신규기능성식품
ci,엉겅퀴복합추출물,신규기능성식품
cj,대두이소플라본,아미노산 및 단백질
ck,알로에전잎,페놀류
cl,감마오리자놀,지방산
cm,그린커피빈,신규기능성식품
cn,키토산,당 및 탄수화물
co,N-아세틸글루코사민,당 및 탄수화물
cp,크레아틴,신규기능성식품
cq,곰피,엽록소
cr,프락토올리고당,식이섬유
cs,크랜베리,페놀류
ct,피크노제놀,페놀류
cu,아르기닌,아미노산 및 단백질
cv,UDCA,비타민 및 무기질
cw,테아닌,아미노산 및 단백질
cx,락토페린,신규기능성식품
cy,포스파티딜콜린,지방산
cz,스피루리나,엽록소
da,밀크씨슬,신규기능성식품
db,차전자피식이섬유,식이섬유
dc,회화나무열매추출물,신규기능성식품
dd,매스틱검,페놀류
de,글루타치온,아미노산 및 단백질
df,알파리포산,신규기능성식품
dg,폴리감마글루탐산,신규기능성식품
dh,콜레우스포스콜리,신규기능성식품
di,L-카르니틴,아미노산 및 단백질
dj,콜라겐,신규기능성식품
dk,초록입홍합추출분말,신규기능성식품
dl,포스파티딜세린,신규기능성식품
dm,맥주효모,아미노산 및 단백질
dn,이눌린식이섬유,식이섬유
do,홍경천추출물,페놀류
dp,콘드로이친,신규기능성식품
dq,마카,신규기능성식품
dr,크릴오일,지방산
ds,뮤코다당 | 단백,아미노산 및 단백질
dt,알로에겔,신규기능성식품
du,클로렐라,엽록소
dv,헛개나무열매,신규기능성식품
dw,헤모힘,아미노산 및 단백질
dx,프리바이오틱스,발효미생물류
dy,세라마이드,신규기능성식품
dz,포스트바이오틱스,발효미생물류
